Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume,Log Close
2014-12-31,104.5,104.91,103.1,103.25,24367121.0,0.0,1.0,101.20745411544213,101.60453599283287,99.85156477801037,99.99683863559235,24367121.0,4.637153231841142
2015-01-02,103.76,104.2,102.44,102.94,31314599.0,0.0,1.0,100.49076975137106,100.9169064002782,99.21235980464968,99.6966059965896,31314599.0,4.6341462942246086
2015-01-05,102.49,102.61,101.14,101.43,36521270.0,0.0,1.0,99.26078442384367,99.37700350990926,97.9533197056059,98.23418249693107,36521270.0,4.619368905387905
2015-01-06,101.58,101.75,99.62,100.07,66205451.0,0.0,1.0,98.37945635451304,98.5441000597726,96.48121128210857,96.91703285485448,66205451.0,4.605869941102364
2015-01-07,100.73,101.6,100.485,101.36,37577361.0,0.0,1.0,97.55623782821519,98.39882620219062,97.31895719416462,98.16638803005947,37577361.0,4.618678536012884
2015-01-08,102.22,103.5,102.111,103.3,40212640.0,0.0,1.0,98.99929148019612,100.23896173156231,98.89372581035323,100.04526325478633,40212640.0,4.637637376125593
2015-01-09,103.62,103.65,102.02,102.62,40835602.0,0.0,1.0,100.3551808176279,100.38423558914428,98.80559300342016,99.38668843374806,40835602.0,4.631032845513819
2015-01-12,102.82,102.93,101.285,101.55,34129751.0,0.0,1.0,99.58038691052401,99.6869210727508,98.09375110126848,98.35040158299664,34129751.0,4.620551288026394
2015-01-13,102.54,103.62,100.7,101.52,56162334.0,0.0,1.0,99.30920904303768,100.3551808176279,97.52718305669879,98.32134681148024,56162334.0,4.620255823406132
2015-01-14,100.5,101.4829,100.07,100.96,51354217.0,0.0,1.0,97.33348457992282,98.2854157440383,96.91703285485448,97.77899107650754,51354217.0,4.6147243987929025
2015-01-15,101.43,101.59,99.525,99.65,51005416.0,0.0,1.0,98.23418249693107,98.38914127835184,96.38920450564,96.51026605362497,51005416.0,4.6016640466588035
2015-01-16,99.52,100.95,99.36,100.82,35362210.0,0.0,1.0,96.38436204372059,97.76930615266875,96.22940326229981,97.64340214276436,35362210.0,4.6133367486544845
2015-01-20,101.43,101.88,100.29,101.62,30964056.0,0.0,1.0,98.23418249693107,98.67000406967698,97.13010117930806,98.41819604986823,30964056.0,4.621240366165586
2015-01-21,101.32,102.619,100.9648,102.14,40128772.0,0.0,1.0,98.12764833470428,99.38571994136417,97.78363983995015,98.92181208948574,40128772.0,4.626344421219498
2015-01-22,102.54,104.14,101.64,104.03,40887168.0,0.0,1.0,99.30920904303768,100.8587968572454,98.43756589754582,100.75226269501862,40887168.0,4.644679319082804
2015-01-23,104.02,104.58,103.72,104.26,34782992.0,0.0,1.0,100.74257777117981,101.28493350615253,100.45203005601587,100.97501594331098,34782992.0,4.64688777933996
2015-01-26,104.14,104.33,103.61,104.14,19960870.0,0.0,1.0,100.8587968572454,101.04281041018257,100.34549589378909,100.8587968572454,19960870.0,4.645736147734753
2015-01-27,102.5,102.56,101.1,101.44,45253205.0,0.0,1.0,99.27046934768248,99.32857889071526,97.91458001025072,98.24386742076986,45253205.0,4.6194674906889155
2015-01-28,103.07,103.18,100.9,100.92,43591675.0,0.0,1.0,99.82251000649397,99.92904416872076,97.72088153347475,97.74025138115235,43591675.0,4.614328123772857
2015-01-29,100.84,102.0779,99.96,101.89,46539734.0,0.0,1.0,97.66277199044197,98.8616687124468,96.8104986926277,98.67968899351578,46539734.0,4.6238937999861935
2015-01-30,101.8,102.58,100.96,101.1,42927638.0,0.0,1.0,98.5925246789666,99.34794873839286,97.77899107650754,97.91458001025072,42927638.0,4.616110126026426
2015-02-02,101.33,102.07,99.75,101.98,43624654.0,0.0,1.0,98.13733325854308,98.85401762261415,96.60711529201295,98.76685330806497,43624654.0,4.62477671562701
2015-02-03,102.35,103.03,101.68,102.96,30750360.0,0.0,1.0,99.1251954901005,99.7837703111388,98.47630559290103,99.71597584426719,30750360.0,4.634340563287871
2015-02-04,102.54,103.55,102.31,102.87,34073211.0,0.0,1.0,99.30920904303768,100.2873863507563,99.08645579474532,99.62881152971802,34073211.0,4.6334660551429385
2015-02-05,103.13,103.83,102.87,103.76,23605516.0,0.0,1.0,99.88061954952677,100.55856421824265,99.62881152971802,100.49076975137106,23605516.0,4.642080540008188
2015-02-06,103.92,104.17,102.76,103.13,34169256.0,0.0,1.0,100.64572853279184,100.8878516287618,99.52227736749124,99.88061954952677,34169256.0,4.635990328327978
2015-02-09,102.73,103.285,102.55,102.8,22604655.0,0.0,1.0,99.49322259597484,100.03073586902813,99.31889396687647,99.56101706284642,22604655.0,4.632785353021065
2015-02-10,103.37,104.54,103.21,104.4,23686531.0,0.0,1.0,100.11305772165794,101.24619381079734,99.95809894023715,101.11060487705416,23686531.0,4.648229675448539
2015-02-11,104.52,105.02,104.32,104.78,20303617.0,0.0,1.0,101.22682396311973,101.71107015505964,101.03312548634376,101.47863198292849,20303617.0,4.651862913980073
2015-02-12,105.46,106.04,105.3,106.0,22520295.0,0.0,1.0,102.13720680396676,102.69893238661707,101.982248022546,102.66019269126188,22520295.0,4.663439094112067
2015-02-13,106.3,106.93,106.101,106.91,29030249.0,0.0,1.0,102.95074040642582,103.56089060827013,102.75801042203373,103.54152076059252,29030249.0,4.671987359025408
2015-02-17,106.91,107.08,106.6432,107.01,17675344.0,0.0,1.0,103.54152076059252,103.7061644658521,103.28312699257337,103.63836999898051,17675344.0,4.67292228803891
2015-02-18,106.88,107.2199,106.74,107.16,15149619.0,0.0,1.0,103.51246598907612,103.84165655035687,103.37687705533295,103.78364385656248,15149619.0,4.674323044676408
2015-02-19,107.09,107.76,107.06,107.69,19828113.0,0.0,1.0,103.7158493896909,104.36473928689038,103.6867946181745,104.2969448200188,19828113.0,4.679256729340789
2015-02-20,107.62,108.47,107.28,108.41,28336710.0,0.0,1.0,104.2291503531472,105.05236887944505,103.89986294262806,104.99425933641227,28336710.0,4.685920335673201
2015-02-23,108.35,108.55,108.11,108.52,17867968.0,0.0,1.0,104.93614979337947,105.12984827015543,104.70371162124832,105.10079349863905,17867968.0,4.686934487790731
2015-02-24,108.38,108.73,108.05,108.6,19745011.0,0.0,1.0,104.96520456489587,105.30417689925382,104.64560207821553,105.17827288934943,19745011.0,4.687671407499835
2015-02-25,108.44,108.86,108.09,108.33,19472341.0,0.0,1.0,105.02331410792866,105.43008090915819,104.68434177357072,104.91677994570188,19472341.0,4.6851821239574765
2015-02-26,108.44,108.94,108.135,108.88,22255476.0,0.0,1.0,105.02331410792866,105.50756029986857,104.72792393084532,105.44945075683579,22255476.0,4.69024635834321
2015-02-27,108.84,108.91,108.23,108.4,27757584.0,0.0,1.0,105.4107110614806,105.47850552835217,104.8199307073139,104.98457441257348,27757584.0,4.685828089005546
2015-03-02,108.61,109.42,108.59,109.38,22988645.0,0.0,1.0,105.18795781318823,105.9724366441309,105.16858796551064,105.9336969487757,22988645.0,4.694828057918627
2015-03-03,109.05,109.16,108.18,108.87,20788924.0,0.0,1.0,105.61409446209535,105.72062862432213,104.77150608811992,105.439765832997,20788924.0,4.690154509893088
2015-03-04,108.51,108.67,107.86,108.45,21007420.0,0.0,1.0,105.09110857480026,105.24606735622102,104.46158852527836,105.03299903176746,21007420.0,4.6862892372728835
2015-03-05,108.73,108.965,108.19,108.64,15381039.0,0.0,1.0,105.30417689925382,105.53177260946558,104.7811910119587,105.21701258470463,15381039.0,4.688039663810386
2015-03-06,108.5,108.71,107.14,107.41,30990366.0,0.0,1.0,105.08142365096145,105.28480705157621,103.76427400888488,104.02576695253244,30990366.0,4.676653287609955
2015-03-09,107.63,107.9857,107.19,107.72,26237101.0,0.0,1.0,104.238835276986,104.58332801793205,103.81269862807888,104.32599959153518,26237101.0,4.679535267943399
2015-03-10,106.95,106.98,105.72,105.72,34234496.0,0.0,1.0,103.58026045594772,103.60931522746412,102.38901482377553,102.38901482377553,34234496.0,4.660794089736088
